Date,Settle Price,Underlying Value,Strike Price,Expiry,T,IV,Delta,Gamma,Vega
2025-12-19,303.0,25966.4,26000.0,24-Feb-2026,0.18356164383561643,0.3,-0.44155252565055925,0.00011824739521531766,43.90543269439995
2025-12-22,240.45,26172.4,26000.0,24-Feb-2026,0.17534246575342466,0.3,-0.41833801684671124,0.00011878830485378138,42.80250112385599
2025-12-23,223.75,26177.15,26000.0,24-Feb-2026,0.1726027397260274,0.3,-0.4180772733521825,0.00011968913061287048,42.468642129684255
2025-12-24,233.6,26142.1,26000.0,24-Feb-2026,0.16986301369863013,0.3,-0.42261737112693887,0.00012109460076195265,42.17215583764249
2025-12-26,265.8,26042.3,26000.0,24-Feb-2026,0.1643835616438356,0.3,-0.435642273877472,0.00012430241451768707,41.57362366914912
2025-12-29,305.45,25942.1,26000.0,24-Feb-2026,0.15616438356164383,0.3,-0.4498292120975025,0.0001286886289341498,40.574546832284376
2025-12-30,301.05,25938.85,26000.0,24-Feb-2026,0.15342465753424658,0.3,-0.4508227902994965,0.0001298895115104177,40.22461871854035
2025-12-31,240.65,26129.6,26000.0,24-Feb-2026,0.1506849315068493,0.3,-0.42660273577809843,0.0001288803951048437,39.778047451985806
2026-01-01,234.65,26146.55,26000.0,24-Feb-2026,0.14794520547945206,0.3,-0.42475504949955856,0.00012986918143065255,39.40551775577638
2026-01-02,193.75,26328.55,26000.0,24-Feb-2026,0.14520547945205478,0.3,-0.40156647142757773,0.00012972133571445413,38.43235782424037
2026-01-05,222.35,26250.3,26000.0,24-Feb-2026,0.136986301369863,0.3,-0.4121583201170169,0.00013354093937792066,37.816502803525616
2026-01-06,235.2,26178.7,26000.0,24-Feb-2026,0.13424657534246576,0.3,-0.42204676049638595,0.00013598497118208846,37.53284941309901
2026-01-07,242.0,26140.75,26000.0,24-Feb-2026,0.13150684931506848,0.3,-0.4278988680664359,0.00013944313048632427,36.809461130949906
2026-01-08,342.7,25876.85,26000.0,24-Feb-2026,0.12876712328767123,0.3,-0.46514809415689323,0.00014266368215845246,36.90306973684744
2026-01-09,429.0,25683.3,26000.0,24-Feb-2026,0.12602739726027398,0.3,-0.4939788761707719,0.00014583307557985663,36.3700506905971
2026-01-12,381.15,25790.25,26000.0,24-Feb-2026,0.1178082191780822,0.3,-0.4811818898091282,0.00015005896619710592,35.275233730822336
2026-01-13,414.25,25732.3,26000.0,24-Feb-2026,0.11506849315068493,0.3,-0.49095287184915687,0.00015230715227162697,34.814101462684334
2026-01-14,447.3,25665.6,26000.0,24-Feb-2026,0.11232876712328767,0.3,-0.5023361915848549,0.00015459108558137303,34.31622738431776
2026-01-16,421.5,25694.35,26000.0,24-Feb-2026,0.10684931506849316,0.3,-0.5002928700857907,0.00015833072016232985,33.50683875621044
2026-01-19,503.7,25585.5,26000.0,24-Feb-2026,0.09863013698630137,0.3,-0.5220979439824447,0.00016524303045028832,32.006770743188255
2026-01-20,746.0,25232.5,26000.0,24-Feb-2026,0.0958904109589041,0.01,-0.9999999999999909,9.1295007820071e-16,5.573689533349783e-12
2026-01-21,815.25,25157.5,26000.0,24-Feb-2026,0.09315068493150686,0.01,-1.0,7.431603381560828e-20,4.3813055224867826e-16
2026-01-22,684.85,25289.9,26000.0,24-Feb-2026,0.09041095890410959,0.01,-0.9999999999997969,1.9721978824665898e-14,1.1404225278528868e-10
2026-01-23,902.8,25048.65,26000.0,24-Feb-2026,0.08767123287671233,0.01,-1.0,1.0947869580158964e-27,6.022202820398588e-24
2026-01-27,754.35,25175.4,26000.0,24-Feb-2026,0.07671232876712329,0.01,-1.0,5.6867530778376916e-24,2.764918264555244e-20
2026-01-28,674.55,25342.75,26000.0,24-Feb-2026,0.07397260273972603,0.3,-0.5847542054698817,0.0001885595508308569,26.874981142831317
2026-01-29,609.1,25418.9,26000.0,24-Feb-2026,0.07123287671232877,0.3,-0.5731663548151673,0.00019271023229568357,26.608477057048468
2026-01-30,691.85,25320.65,26000.0,24-Feb-2026,0.0684931506849315,0.3,-0.5953223791284601,0.00019491768866992538,25.678482329123618
2026-02-01,1181.25,24825.45,26000.0,24-Feb-2026,0.06301369863013699,0.3,-0.6990961060857762,0.00018623006389525428,21.697029404742274
2026-02-02,904.7,25088.4,26000.0,24-Feb-2026,0.06027397260273973,0.01,-1.0,2.8063628176655876e-39,1.0646811488790489e-35
2026-02-03,385.15,25727.55,26000.0,24-Feb-2026,0.057534246575342465,0.3,-0.5233014270516813,0.00021512234549848737,24.577068005639703
2026-02-04,346.9,25776.0,26000.0,24-Feb-2026,0.0547945205479452,0.3,-0.5149107813495006,0.00022024255539627833,24.05418625530211
2026-02-05,408.6,25642.8,26000.0,24-Feb-2026,0.052054794520547946,0.3,-0.5471455166989027,0.00022570760650925462,23.1770990512752
2026-02-06,389.4,25693.7,26000.0,24-Feb-2026,0.049315068493150684,0.3,-0.5384211529777945,0.000231980787191461,22.657198584461508
